ELSI Export,,,,
,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,
,,,,
This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC,,,,
,,,,
Agency Name,State Name [District] Latest available year,Agency Name [District] 2021-22,County Number [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year
CARATUNK PUBLIC SCHOOLS,Maine,Caratunk Public Schools,23025,2300061
CARBON,Montana,Carbon,30009,3000014
CARBON CAREER & TECHNICAL INSTITUTE,Pennsylvania,Carbon Career & Technical Institute,42025,4280130
CARBON CLIFF-BARSTOW SD 36,Illinois,Carbon Cliff-Barstow SD 36,17161,1708310
CARBON COUNTY SCHOOL DISTRICT #1,Wyoming,Carbon County School District #1,56007,5601030
CARBON COUNTY SCHOOL DISTRICT #2,Wyoming,Carbon County School District #2,56007,5601700
CARBON DISTRICT,Utah,Carbon District,49007,4900150
CARBON-LEHIGH IU 21,Pennsylvania,Carbon-Lehigh IU 21,42077,4289310
CARBONADO SCHOOL DISTRICT,Washington,Carbonado School District,53053,5300870
CARBONDALE AREA SD,Pennsylvania,Carbondale Area SD,42069,4204980
CARBONDALE CHSD 165,Illinois,Carbondale CHSD 165,17077,1708370
CARBONDALE ESD 95,Illinois,Carbondale ESD 95,17077,1708340
CARDEN OF TUCSON INC. (78858),Arizona,Carden of Tucson Inc. (78858),04019,0400258
CARDIFF ELEMENTARY,California,Cardiff Elementary,06073,0607470
CARDINAL ACADEMY INCORPORATED,IDAHO,CARDINAL ACADEMY INCORPORATED,16001,1600200
CARDINAL CHARTER,North Carolina,Cardinal Charter,37183,3700358
CARDINAL CHARTER ACAD AT WENDELL FALLS,NORTH CAROLINA,Cardinal Charter Acad at Wendell Falls,37183,3700465
CARDINAL COMM SCHOOL DISTRICT,Iowa,Cardinal Comm School District,19179,1906240
CARDINAL LOCAL,Ohio,Cardinal Local,39055,3904717
CARDINAL MCCLOSKEY COMMUNITY CHARTER SCHOOL,NEW YORK,CARDINAL MCCLOSKEY COMMUNITY CHARTER SCHOOL,36005,3601201
CARDINGTON-LINCOLN LOCAL,Ohio,Cardington-Lincoln Local,39117,3904879
CARDWELL ELEM,Montana,Cardwell Elem,30043,3005550
CAREER & TECH EDUC CONSORTIUM,Illinois,Career & Tech Educ Consortium,17177,1700238
CAREER ACADEMY HIGH SCHOOL,Indiana,Career Academy High School,18141,1800101
CAREER ACADEMY MIDDLE SCHOOL,INDIANA,Career Academy Middle School,18141,1800164
CAREER ACADEMY OF UTAH,UTAH,Career Academy of Utah,49035,4900206
CAREER AND TECHNOLOGY EDUCATIONAL CENTERS,Ohio,Career and Technology Educational Centers,39089,3905120
CAREER DEVELOPMENT INC. (4400),Arizona,Career Development Inc. (4400),04017,0400077
CAREER DEVELOPMENT SYSTEM,Illinois,Career Development System,17031,1700249
CAREER EDUC ASSOC OF N CENTRAL IL,Illinois,Career Educ Assoc of N Central IL,17201,1700235
CAREER INSTITUTE OF TECHNOLOGY,Pennsylvania,Career Institute of Technology,42095,4280380
CAREER PATHWAYS,MINNESOTA,Career Pathways,27123,2700402
CAREER PREPARATION NETWORK,ILLINOIS,Career Preparation Network,17197,1701430
CAREER SUCCESS SCHOOLS (79047),Arizona,Career Success Schools (79047),04013,0400219
CAREER TECHNICAL EDUCATION CHARTER DISTRICT,CALIFORNIA,Career Technical Education Charter District,06019,0602124
CAREER TECHNOLOGY CENTER OF LACKAWANNA COUNTY,Pennsylvania,CTC of Lackawanna County,42069,4280260
CAREY EXEMPTED VILLAGE SCHOOLS,Ohio,Carey Exempted Village Schools,39175,3904526
CARL JUNCTION R-I,Missouri,CARL JUNCTION R-I,29097,2907350
CARLE PLACE UNION FREE SCHOOL DISTRICT,New York,CARLE PLACE UNION FREE SCHOOL DISTRICT,36059,3606540
CARLINVILLE CUSD 1,Illinois,Carlinville CUSD 1,17117,1708430
CARLISLE,Massachusetts,Carlisle,25017,2503330
CARLISLE AREA SD,Pennsylvania,Carlisle Area SD,42041,4205010
CARLISLE COMM SCHOOL DISTRICT,Iowa,Carlisle Comm School District,19181,1906270
CARLISLE COUNTY,Kentucky,Carlisle County,21039,2100960
CARLISLE ISD,Texas,CARLISLE ISD,48401,4812870
CARLISLE LOCAL,Ohio,Carlisle Local,39165,3905041
CARLISLE SCHOOL DISTRICT,Arkansas,CARLISLE SCHOOL DISTRICT,05085,0503960
CARLOS ROSARIO INTERNATIONAL PCS,District of Columbia,Carlos Rosario International PCS,11001,1100004
CARLSBAD,New Mexico,CARLSBAD MUNICIPAL SCHOOLS,35015,3500300
CARLSBAD UNIFIED,California,Carlsbad Unified,06073,0607500
CARLSTADT PUBLIC SCHOOL DISTRICT,New Jersey,Carlstadt Public School District,34003,3402790
CARLSTADT-EAST RUTHERFORD REGIONAL HIGH SCHOOL DISTRICT,New Jersey,Carlstadt-East Rutherford Regional High School District,34003,3402800
CARLTON LANDING ACADEMY (CHARTER),OKLAHOMA,CARLTON LANDING ACADEMY,40121,4000795
CARLTON PUBLIC SCHOOL DISTRICT,Minnesota,CARLTON PUBLIC SCHOOL DISTRICT,27017,2707590
CARLYLE CUSD 1,Illinois,Carlyle CUSD 1,17027,1708460
CARLYNTON SD,Pennsylvania,Carlynton SD,42003,4205040
CARMAN-AINSWORTH COMMUNITY SCHOOLS,Michigan,Carman-Ainsworth Community Schools,26049,2607890
CARMEL CENTRAL SCHOOL DISTRICT,New York,CARMEL CENTRAL SCHOOL DISTRICT,36079,3606570
CARMEL CLAY SCHOOLS,Indiana,Carmel Clay Schools,18057,1801200
CARMEL UNIFIED,California,Carmel Unified,06053,0607530
CARMEN HIGH SCHOOL OF SCIENCE AND TECHNOLOGY INC,WISCONSIN,Stellar Collegiate Charter School Agency,55079,5500076
CARMEN MIDDLE SCHOOL SOUTH AGENCY,WISCONSIN,Carmen Middle School South Agency,55079,5500088
CARMI-WHITE COUNTY CUSD 5,Illinois,Carmi-White County CUSD 5,17193,1708500
CARMICHAELS AREA SD,Pennsylvania,Carmichaels Area SD,42059,4205070
CARNEGIE,Oklahoma,CARNEGIE,40015,4006630
CARNEY,Oklahoma,CARNEY,40081,4006690
CARNEY-NADEAU PUBLIC SCHOOLS,Michigan,Carney-Nadeau Public Schools,26109,2608010
CARO COMMUNITY SCHOOLS,Michigan,Caro Community Schools,26157,2608040
CAROLINA CHARTER ACADEMY: CFA,NORTH CAROLINA,Carolina Charter Academy: CFA,37183,3700423
CAROLINA INTERNATIONAL SCHOOL,North Carolina,Carolina International School,37025,3700133
CAROLINE COUNTY PUBLIC SCHOOLS,Maryland,Caroline County Public Schools,24011,2400180
CAROLINE COUNTY PUBLIC SCHOOLS,Virginia,CAROLINE CO PBLC SCHS,51033,5100660
CARPE DIEM COLLEGIATE HIGH SCHOOL (80001),Arizona,Carpe Diem Collegiate High School (80001),04027,0400381
CARPINTERIA UNIFIED,California,Carpinteria Unified,06083,0607560
CARRABASSETT VALLEY PUBLIC SCHOOLS,Maine,Carrabassett Valley Public Schools,23007,2303980
CARRIER MILLS-STONEFORT CUSD 2,Illinois,Carrier Mills-Stonefort CUSD 2,17165,1708580
CARRINGTON 49,North Dakota,CARRINGTON 49,38031,3800053
CARRIZO SPRINGS CISD,Texas,CARRIZO SPRINGS CISD,48127,4812990
CARRIZOZO,New Mexico,CARRIZOZO MUNICIPAL SCHOOLS,35027,3500330
CARROLL COMM SCHOOL DISTRICT,Iowa,Carroll Comm School District,19027,1906330
CARROLL CONSOLIDATED SCHOOL CORP,Indiana,Carroll Consolidated School Corp,18015,1801290
CARROLL COUNTY,Georgia,Carroll County,13045,1300840
CARROLL COUNTY,Kentucky,Carroll County,21041,2100990
CARROLL COUNTY,Tennessee,Carroll County,47017,4700480
CARROLL COUNTY PUBLIC SCHOOLS,Virginia,CARROLL CO PBLC SCHS,51035,5100690
CARROLL COUNTY PUBLIC SCHOOLS,Maryland,Carroll County Public Schools,24013,2400210
CARROLL COUNTY SCHOOL DIST,Mississippi,CARROLL COUNTY SCHOOL DIST,28015,2800930
CARROLL ISD,Texas,CARROLL ISD,48439,4813020
CARROLL PLT PUBLIC SCHOOLS,Maine,Carroll Plt Public Schools,23019,2303990
CARROLL-GALAX REG ALT ED PRGM/THE RAE CTR,Virginia,CARROLL-GALAX REG ALT ED PRGM/THE RAE CENTER,51035,5100100
CARROLL/JO DAVIESS/STEPHENSON ROE,Illinois,Carroll/Jo Daviess/Stephenson ROE,17177,1700170
CARROLLTON CITY,Georgia,Carrollton City,13045,1300870
CARROLLTON CUSD 1,Illinois,Carrollton CUSD 1,17061,1708610
CARROLLTON EXEMPTED VILLAGE,Ohio,Carrollton Exempted Village,39019,3904527
CARROLLTON PUBLIC SCHOOLS,Michigan,Carrollton Public Schools,26145,2608070
CARROLLTON R-VII,Missouri,CARROLLTON R-VII,29033,2907380
CARROLLTON-FARMERS BRANCH ISD,Texas,CARROLLTON-FARMERS BRANCH ISD,48113,4813050
CARSON CITY,Nevada,CARSON CITY SCHOOL DISTRICT,32510,3200390
CARSON CITY-CRYSTAL AREA SCHOOLS,Michigan,Carson City-Crystal Area Schools,26117,2608130
CARSONVILLE-PORT SANILAC SCHOOL DISTRICT,Michigan,Carsonville-Port Sanilac School District,26151,2608160
CARTER,Montana,Carter,30011,3000015
CARTER COUNTY,Kentucky,Carter County,21043,2101020
CARTER COUNTY,Tennessee,Carter County,47019,4700510
CARTER COUNTY H S,Montana,Carter County H S,30011,3005610
CARTER ELEM,Montana,Carter Elem,30015,3005760
CARTER G WOODSON SCHOOL,North Carolina,Carter G Woodson School,37067,3700027
CARTER G. WOODSON PUBLIC CHARTER DISTRICT,CALIFORNIA,Carter G. Woodson Public Charter District,06019,0602383
CARTERET COUNTY PUBLIC SCHOOLS,North Carolina,Carteret County Public Schools,37031,3700630
CARTERET PUBLIC SCHOOL DISTRICT,New Jersey,Carteret Public School District,34023,3402820
CARTERSVILLE CITY,Georgia,Cartersville City,13015,1300900
CARTERVILLE CUSD 5,Illinois,Carterville CUSD 5,17199,1708640
CARTHAGE CENTRAL SCHOOL DISTRICT,New York,CARTHAGE CENTRAL SCHOOL DISTRICT,36045,3606630
CARTHAGE ESD 317,Illinois,Carthage ESD 317,17067,1701385
CARTHAGE ISD,Texas,CARTHAGE ISD,48365,4813110
CARTHAGE R-IX,Missouri,CARTHAGE R-IX,29097,2907460
CARTWRIGHT ELEMENTARY DISTRICT (4282),Arizona,Cartwright Elementary District (4282),04013,0401680
CARUTHERS UNIFIED,California,Caruthers Unified,06019,0600067
CARUTHERSVILLE 18,Missouri,CARUTHERSVILLE 18,29155,2907470
CARVER,Massachusetts,Carver,25023,2503360
CARVER COUNTY SCHOOLS NETWORK,MINNESOTA,Carver County Schools Network,27019,2700407
CARY CCSD 26,Illinois,Cary CCSD 26,17111,1708730
CASA ACADEMY (91934),ARIZONA,CASA Academy (91934),04013,0400915
CASA ESPERANZA MONTESSORI,North Carolina,Casa Esperanza Montessori,37183,3700131
CASA GRANDE ELEMENTARY DISTRICT (4446),Arizona,Casa Grande Elementary District (4446),04021,0401710
CASA GRANDE UNION HIGH SCHOOL DISTRICT (4453),Arizona,Casa Grande Union High School District (4453),04021,0401740
CASCADE,Montana,Cascade,30013,3000016
CASCADE CAREER PREP HIGH SCHOOL,Ohio,Cascade Career Prep High School,39153,3900593
CASCADE DISTRICT,Idaho,CASCADE DISTRICT,16085,1600630
CASCADE ELEM,Montana,Cascade Elem,30013,3005880
CASCADE H S,Montana,Cascade H S,30013,3005910
CASCADE SCHOOL DISTRICT,Washington,Cascade School District,53007,5300950
CASCADE SD 5,Oregon,Cascade SD 5,41047,4102780
CASCADE UNION ELEMENTARY,California,Cascade Union Elementary,06089,0607680
CASE PREPARATORY ACADEMY,OHIO,Case Preparatory Academy,39153,3901626
CASEVILLE PUBLIC SCHOOLS,Michigan,Caseville Public Schools,26063,2608280
CASEY COUNTY,Kentucky,Casey County,21045,2101050
CASEY-WESTFIELD CUSD 4C,Illinois,Casey-Westfield CUSD 4C,17023,1700002
CASHION,Oklahoma,CASHION,40073,4006810
CASHMERE SCHOOL DISTRICT,Washington,CASHMERE SCHOOL DISTRICT,53007,5300960
CASHTON SCHOOL DISTRICT,Wisconsin,Cashton School District,55081,5502340
CASMAN ALTERNATIVE ACADEMY,Michigan,Casman Alternative Academy,26101,2600152
CASS CITY PUBLIC SCHOOLS,Michigan,Cass City Public Schools,26157,2608400
CASS COUNTY CAREER & TECHNICAL EDUCATION CENTER,NORTH DAKOTA,CASS COUNTY CAREER & TECHNICAL CENTER,38017,3800402
CASS LAKE-BENA PUBLIC SCHOOLS,Minnesota,CASS LAKE-BENA PUBLIC SCHOOLS,27021,2708070
CASS SD 63,Illinois,Cass SD 63,17043,1708790
CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,New York,CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,36013,3606660
CASSIA COUNTY JOINT DISTRICT,Idaho,CASSIA COUNTY JOINT DISTRICT,16031,1600660
CASSOPOLIS PUBLIC SCHOOLS,Michigan,Cassopolis Public Schools,26027,2608430
CASSVILLE R-IV,Missouri,CASSVILLE R-IV,29009,2908170
CASSVILLE SCHOOL DISTRICT,Wisconsin,Cassville School District,55043,5502400
CASTAIC UNION,California,Castaic Union,06037,0607740
CASTINE PUBLIC SCHOOLS,Maine,Castine Public Schools,23009,2304080
CASTLE ROCK SCHOOL DISTRICT,Washington,Castle Rock School District,53015,5300990
CASTLE ROCK UNION ELEMENTARY,California,Castle Rock Union Elementary,06089,0607770
CASTLEBERRY ISD,Texas,CASTLEBERRY ISD,48439,4813170
CASTLEFORD DISTRICT,Idaho,CASTLEFORD DISTRICT,16083,1600690
CASTLEWOOD SCHOOL DISTRICT 28-1,South Dakota,Castlewood School District 28-1,46057,4611280
CASTON SCHOOL CORPORATION,Indiana,Caston School Corporation,18049,1801410
CASTRO VALLEY UNIFIED,California,Castro Valley Unified,06001,0607800
CASWELL COUNTY SCHOOLS,North Carolina,Caswell County Schools,37033,3700660
CASWELL PUBLIC SCHOOLS,Maine,Caswell Public Schools,23003,2304110
CATAHOULA PARISH,Louisiana,Catahoula Parish,22025,2200420
CATALINA FOOTHILLS UNIFIED DISTRICT (4410),Arizona,Catalina Foothills Unified District (4410),04019,0401760
CATALYST ACADEMY CS,PENNSYLVANIA,Catalyst Academy CS,42003,4200904
CATALYST PUBLIC SCHOOLS,WASHINGTON,Catalyst Public Schools,53035,5300347
CATAMOUNT SCHOOL,NORTH CAROLINA,Catamount School,37099,3700421
CATASAUQUA AREA SD,Pennsylvania,Catasauqua Area SD,42077,4205160
CATAWBA COUNTY SCHOOLS,North Carolina,Catawba County Schools,37035,3700690
CATCH PREP CHARTER HIGH INC. DISTRICT,CALIFORNIA,CATCH Prep Charter High Inc. District,06037,0602265
CATHEDRAL HOME FOR CHILDREN - ADMINISTRATION OFFICE,Wyoming,Cathedral Home for Children - Administration Office,56001,5600009
CATO-MERIDIAN CENTRAL SCHOOL DISTRICT,New York,CATO-MERIDIAN CENTRAL SCHOOL DISTRICT,36011,3606690
CATOOSA,Oklahoma,CATOOSA,40131,4006870
CATOOSA COUNTY,Georgia,Catoosa County,13047,1300930
CATSKILL CENTRAL SCHOOL DISTRICT,New York,CATSKILL CENTRAL SCHOOL DISTRICT,36039,3606720
CATTARAUGUS-ALLEGANY-ERIE-WYOMING BOCES,New York,CATTARAUGUS-ALLEGANY-ERIE-WYOMING BOCES,36009,3680150
CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,New York,CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,36009,3600024
CAVALIER 6,North Dakota,CAVALIER 6,38067,3800018
CAVE CITY SCHOOL DISTRICT,Arkansas,CAVE CITY SCHOOL DISTRICT,05135,0504050
CAVE CREEK UNIFIED DISTRICT (4244),Arizona,Cave Creek Unified District (4244),04013,0400001
CAVE SPRINGS,Oklahoma,CAVE SPRINGS,40001,4006930
CAVERNA INDEPENDENT,Kentucky,Caverna Independent,21009,2101110
CAYUCOS ELEMENTARY,California,Cayucos Elementary,06079,0607840
CAYUGA ISD,Texas,CAYUGA ISD,48001,4813200
CAYUGA-ONONDAGA BOCES,New York,CAYUGA-ONONDAGA BOCES,36011,3680180
CAYUSE PRAIRIE ELEM,Montana,Cayuse Prairie Elem,30029,3005990
CAZENOVIA CENTRAL SCHOOL DISTRICT,New York,CAZENOVIA CENTRAL SCHOOL DISTRICT,36053,3606780
CCSD 146,Illinois,CCSD 146,17031,1739030
CCSD 168,Illinois,CCSD 168,17031,1735460
CCSD 180,Illinois,CCSD 180,17043,1730510
CCSD 204,Illinois,CCSD 204,17145,1731560
CCSD 62,Illinois,CCSD 62,17031,1712120
CCSD 89,Illinois,CCSD 89,17043,1740500
CCSD 93,Illinois,CCSD 93,17043,1710470
CECIL COUNTY PUBLIC SCHOOLS,Maryland,Cecil County Public Schools,24015,2400240
CEDAR BLUFFS PUBLIC SCHOOLS,Nebraska,CEDAR BLUFFS PUBLIC SCHOOLS,31155,3104870
CEDAR CLIFF LOCAL,Ohio,Cedar Cliff Local,39057,3904725
CEDAR FALLS COMM SCHOOL DISTRICT,Iowa,Cedar Falls Comm School District,19013,1906510
CEDAR GROVE TOWNSHIP SCHOOL DISTRICT,New Jersey,Cedar Grove Township School District,34013,3402850
CEDAR GROVE-BELGIUM AREA SCHOOL DISTRICT,Wisconsin,Cedar Grove-Belgium Area School District,55117,5502430
CEDAR HILL ISD,Texas,CEDAR HILL ISD,48113,4813230
CEDAR MOUNTAIN SCHOOL DISTRICT,Minnesota,CEDAR MOUNTAIN SCHOOL DISTRICT,27127,2700110
CEDAR RAPIDS COMM SCHOOL DISTRICT,Iowa,Cedar Rapids Comm School District,19113,1906540
CEDAR RIDGE SCHOOL DISTRICT,Arkansas,CEDAR RIDGE SCHOOL DISTRICT,05063,0500070
CEDAR SPRINGS PUBLIC SCHOOLS,Michigan,Cedar Springs Public Schools,26081,2608520
CEDAR TREE ACADEMY PCS,District of Columbia,Cedar Tree Academy PCS,11001,1100029
CEDAR UNIFIED DISTRICT (4395),Arizona,Cedar Unified District (4395),04017,0401810
CEDAR VALE,Kansas,Cedar Vale,20019,2004500
CEDARBURG SCHOOL DISTRICT,Wisconsin,Cedarburg School District,55089,5502460
CEDARS INTERNATIONAL ACADEMY,Texas,CEDARS INTERNATIONAL ACADEMY,48453,4800232
CEDARVILLE SCHOOL DISTRICT,Arkansas,CEDARVILLE SCHOOL DISTRICT,05033,0504080
CEIBA COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,Ceiba College Preparatory Academy District,06087,0602428
CELESTE ISD,Texas,CELESTE ISD,48231,4813260
CELINA CITY,Ohio,Celina City,39107,3910030
CELINA ISD,Texas,CELINA ISD,48085,4813290
CEMENT,Oklahoma,CEMENT,40015,4006960
CENTENNIAL BOCES,Colorado,Centennial BOCES,08123,0899200
CENTENNIAL BOCES AU,Colorado,Centennial BOCES AU,08123,0800226
CENTENNIAL PUBLIC SCHOOL DISTRICT,Minnesota,CENTENNIAL PUBLIC SCHOOL DISTRICT,27003,2708100
CENTENNIAL PUBLIC SCHOOLS,Nebraska,CENTENNIAL PUBLIC SCHOOLS,31159,3100099
CENTENNIAL SCHOOL DISTRICT NO. R-1,Colorado,Centennial School District No. R-1,08023,0806360
CENTENNIAL SD,Pennsylvania,Centennial SD,42017,4205190
CENTENNIAL SD 28J,Oregon,Centennial SD 28J,41051,4102800
CENTER 58,Missouri,CENTER 58,29095,2908250
CENTER CASS SD 66,Illinois,Center Cass SD 66,17043,1708970
CENTER CITY PCS,District of Columbia,Center City PCS,11001,1100073
CENTER CONSOLIDATED SCHOOL DISTRICT NO. 26 JT. OF THE COUNT,Colorado,Center Consolidated School District No. 26 Jt. of the count,08109,0802850
CENTER FOR ACADEMIC SUCCESS INC. (4191),Arizona,Center for Academic Success Inc. (4191),04003,0400016
CENTER FOR ADVANCED LEARNING DISTRICT,CALIFORNIA,Center for Advanced Learning District,06037,0602111
CENTER FOR ADVANCED RESEARCH & TECH (CART) JPA,California,Center for Advanced Research & Tech (CART) JPA,06019,0601351
CENTER FOR STUDENT LEARNING CS AT PENNSBURY,Pennsylvania,Center for Student Learning CS at Pennsbury,42017,4200100
CENTER GROVE COMMUNITY SCHOOL CORP,Indiana,Center Grove Community School Corp,18081,1801440
CENTER ISD,Texas,CENTER ISD,48419,4813320
CENTER JOINT UNIFIED,California,Center Joint Unified,06067,0607900
CENTER LINE PREPARATORY ACADEMY,MICHIGAN,Center Line Preparatory Academy,26099,2601131
CENTER LINE PUBLIC SCHOOLS,Michigan,Center Line Public Schools,26099,2608580
CENTER MORICHES UNION FREE SCHOOL DISTRICT,New York,CENTER MORICHES UNION FREE SCHOOL DISTRICT,36103,3606840
CENTER POINT ISD,Texas,CENTER POINT ISD,48265,4813350
CENTER POINT-URBANA COMM SCHOOL DISTRICT,Iowa,Center Point-Urbana Comm School District,19011,1906660
CENTER-STANTON 1,North Dakota,CENTER-STANTON 1,38065,3800052
CENTERBURG LOCAL,Ohio,Centerburg Local,39083,3904782
CENTERPOINT SCHOOL DISTRICT,Arkansas,CENTERPOINT SCHOOL DISTRICT,05109,0506690
CENTERVILLE CITY,Ohio,Centerville City,39113,3904373
CENTERVILLE COMM SCHOOL DISTRICT,Iowa,Centerville Comm School District,19007,1906750
CENTERVILLE ELEM,Montana,Centerville Elem,30013,3025130
CENTERVILLE H S,Montana,Centerville H S,30013,3025140
CENTERVILLE ISD,Texas,CENTERVILLE ISD,48289,4813410
CENTERVILLE ISD,Texas,CENTERVILLE ISD,48455,4813380
CENTERVILLE R-I,Missouri,CENTERVILLE R-I,29179,2908340
CENTERVILLE SCHOOL DISTRICT,Washington,Centerville School District,53039,5301050
CENTERVILLE SCHOOL DISTRICT 60-1,South Dakota,Centerville School District 60-1,46125,4611760
CENTERVILLE-ABINGTON COM SCHS,Indiana,Centerville-Abington Com Schs,18177,1801560
CENTINELA VALLEY UNION HIGH,California,Centinela Valley Union High,06037,0607920
CENTRAL,Oklahoma,CENTRAL,40135,4007140
CENTRAL,New Mexico,CENTRAL CONSOLIDATED SCHOOLS,35045,3500390
CENTRAL,Kansas,Central,20035,2004230
CENTRAL A & M CUD 21,Illinois,Central A & M CUD 21,17021,1709100
CENTRAL ACADEMY,Michigan,Central Academy,26161,2600163
CENTRAL ACADEMY OF OHIO,Ohio,Central Academy of Ohio,39095,3901313
CENTRAL ARIZONA VALLEY INSTITUTE OF TECHNOLOGY (79385),Arizona,Central Arizona Valley Institute of Technology (79385),04021,0400348
CENTRAL BERKSHIRE,Massachusetts,Central Berkshire,25003,2503390
CENTRAL BROOKLYN ASCEND CHARTER SCHOOL,NEW YORK,CENTRAL BROOKLYN ASCEND CHARTER SCHOOL,36047,3601114
CENTRAL BUCKS SD,Pennsylvania,Central Bucks SD,42017,4205310
CENTRAL CALIF MIGRANT HEAD START JPA,California,Central Calif Migrant Head Start JPA,06099,0601376
CENTRAL CALIFORNIA SCHOOL FINANCE AUTHORITY JPA,California,Central California School Finance Authority JPA,06079,0601353
CENTRAL CAMBRIA SD,Pennsylvania,Central Cambria SD,42021,4205340
CENTRAL CAROLINA ACADEMY,NORTH CAROLINA,Central Carolina Academy,37183,3700478
CENTRAL CASS 17,North Dakota,CENTRAL CASS 17,38017,3804090
CENTRAL CHSD 71,Illinois,Central CHSD 71,17027,1704770
CENTRAL CITY COMM SCHOOL DISTRICT,Iowa,Central City Comm School District,19113,1906780
CENTRAL CITY CYBERSCHOOL OF MILWAUKEE INC,Wisconsin,Central City Cyberschool Agency,55079,5500041
CENTRAL CITY PUBLIC SCHOOLS,Nebraska,CENTRAL CITY PUBLIC SCHOOLS,31121,3104920
CENTRAL CITY SD 133,Illinois,Central City SD 133,17121,1709180
CENTRAL CITY VALUE DISTRICT,CALIFORNIA,Central City Value District,06037,0602131
CENTRAL COLUMBIA SD,Pennsylvania,Central Columbia SD,42037,4205370
CENTRAL COMM SCHOOL DISTRICT,Iowa,Central Comm School District,19043,1906840
CENTRAL COMMUNITY SCHOOL DISTRICT,Louisiana,Central Community School District,22033,2200125
CENTRAL CURRY SD 1,Oregon,Central Curry SD 1,41015,4105760
CENTRAL CUSD 3,Illinois,Central CUSD 3,17001,1708220
CENTRAL CUSD 301,Illinois,Central CUSD 301,17089,1707830
CENTRAL CUSD 4,Illinois,Central CUSD 4,17075,1710410
CENTRAL DAUPHIN SD,Pennsylvania,Central Dauphin SD,42043,4205400
CENTRAL DECATUR COMM SCHOOL DISTRICT,Iowa,Central Decatur Comm School District,19053,1906900
CENTRAL DEWITT SCHOOL DISTRICT,Iowa,Central DeWitt School District,19045,1906810
CENTRAL ELEMENTARY,California,Central Elementary,06071,0607950
CENTRAL FALLS,Rhode Island,Central Falls,44007,4400120
CENTRAL FULTON SD,Pennsylvania,Central Fulton SD,42057,4214850
CENTRAL GREENE SD,Pennsylvania,Central Greene SD,42059,4205430
CENTRAL HEIGHTS,Kansas,Central Heights,20059,2000014
CENTRAL HEIGHTS ISD,Texas,CENTRAL HEIGHTS ISD,48347,4813440
CENTRAL HIGH,Oklahoma,CENTRAL HIGH,40137,4007170
CENTRAL HIGH SCHOOL,Ohio,Central High School,39049,3901413
CENTRAL IL VOC ED COOP,Illinois,Central IL Voc Ed Coop,17203,1700289
CENTRAL ILL RURAL REGION,Illinois,Central Ill Rural Region,17083,1700286
CENTRAL IN EDUCATION SERVICE CTR,Indiana,Central IN Education Service Ctr,18097,1800140
CENTRAL ISD,Texas,CENTRAL ISD,48005,4813500
CENTRAL ISLIP UNION FREE SCHOOL DISTRICT,New York,CENTRAL ISLIP UNION FREE SCHOOL DISTRICT,36103,3606870
CENTRAL IU 10,Pennsylvania,Central IU 10,42027,4289200
CENTRAL JERSEY COLLEGE PREP CHARTER SCHOOL,New Jersey,Central Jersey College Prep Charter School,34035,3400090
CENTRAL KANSAS COOPERATIVE IN EDUCATION,KANSAS,Central Kansas Cooperative in Education,20169,2000355
CENTRAL KENTUCKY EDUCATIONAL COOPERATIVE,Kentucky,Central Kentucky Educational Cooperative,21067,2100113
