statecode,countycode,v128_denominator,v128_numerator,v128_rawvalue,v128_cilow,v128_cihigh,sourceflag,v128_flag_CT
13,187,33504,20,59.69436485195798,36.46286886760968,92.1931050103707,,
13,189,23246,21,90.33812268777423,55.92072177611711,138.09141673812005,,
13,191,8138,4,49.15212582944212,0.9830425165888457,97.3212091422954,,
13,193,9754,7,71.76542956735697,18.600855344611468,124.93000379010249,,
13,195,31599,21,66.45779929744612,41.138425216228946,101.58780573734417,,
13,197,6866,3,43.693562481794345,-5.750358037212344,93.13748300080104,,
13,199,19153,23,120.08562627264658,76.12398599198391,180.187400902381,,
13,201,5759,6,104.18475429762111,20.81958854219434,187.54992005304788,,
13,205,20954,21,100.21952849098024,62.03746771058598,153.19619516533066,,
13,207,26800,19,70.8955223880597,42.683735687935574,110.71214019248357,,
13,209,8434,5,59.283851078966094,7.319264454593458,111.24843770333874,,
13,211,20106,6,29.84183825723665,5.963394529717355,53.72028198475594,,
13,213,42064,31,73.69722327881323,50.073687664372976,104.60732574945023,,
13,215,220342,217,98.48326692142216,85.37972654745522,111.5868072953891,,
13,217,132367,100,75.54753072895812,60.740214706082334,90.35484675183392,,
13,219,48963,15,30.635377734207463,17.14638836015627,50.52839669032911,,
13,221,14164,7,49.4210674950579,12.809428341664805,86.03270664845098,,
13,223,197263,90,45.624369496560426,36.68738087279722,56.080096008834104,,
13,225,29243,29,99.16903190507131,66.41505706510254,142.42327202608007,,
13,227,28617,14,48.92196945871335,26.74609594402138,82.08275193708486,,
13,229,21463,19,88.5244374039044,53.29749412648155,138.24187472201277,,
13,231,20300,18,88.66995073891626,52.55143241576123,140.13675008634476,,
13,233,48098,34,70.68900993804316,48.95419432111996,98.78080605264896,,
13,235,8102,6,74.0557886941496,14.798816392803893,133.3127609954953,,
13,237,19307,9,46.615217278707206,16.159941989951836,77.07049256746258,,
13,239,1809,1,55.2791597567717,-53.06799336650082,163.62631288004422,,
13,241,12162,9,74.00098667982239,25.65367538233844,122.34829797730634,,
13,243,5831,7,120.04801920768307,31.11520202904137,208.98083638632477,,
13,245,211879,221,104.30481548430944,90.55286519912579,118.0567657694931,,
13,247,99157,57,57.48459513700495,43.53827098734809,74.47796061091282,,
13,249,4873,1,20.521239482864765,-19.70038990355018,60.74286886927971,,
13,251,12629,11,87.10111647794758,43.48056352234412,155.84795718823307,,
13,253,7761,3,38.654812524159254,-5.087225651784564,82.39685070010307,,
13,255,69761,54,77.40714725993033,58.1506314022803,100.9995361214872,,
