statecode,countycode,v149_numerator,v149_denominator,v149_rawvalue,v149_cilow,v149_cihigh,relative_standard_error,v149_sourceflag,v149_flag_CT
12,051,447,2459,0.18178121187474583,0.07805762696713793,0.28550479678235374,0.29112027494841786,,
12,053,585,8514,0.06871035940803383,0.04224404754131293,0.09517667127475472,0.19652379141222898,,
12,055,359,3774,0.0951245363010069,0.049362657132081746,0.14088641546993205,0.24544558578750997,,
12,057,4610,77391,0.05956764998514039,0.05000206933628258,0.0691332306339982,0.08193034795650037,,
12,059,,,,,,0.5735031897874526,,
12,061,427,6222,0.06862745098039216,0.027010807784064332,0.11024409417671999,0.3093948692438366,,
12,063,,,,,,0.38063414159763365,,
12,065,,,,,,0.48071774401280953,,
12,067,,,,,,1.122566455540634,,
12,069,1357,16143,0.08406120299820355,0.054139135465257365,0.11398327053114973,0.1816100703022688,,
12,071,2326,33305,0.0698393634589401,0.054736178252262686,0.08494254866561751,0.11033472180242668,,
12,073,650,24791,0.026219192448872573,0.015345224619968572,0.03709316027777657,0.2115985372420401,,
12,075,276,1779,0.1551433389544688,0.05094353464744571,0.2593431432614919,0.3426712730371822,,
12,077,,,,,,0.8663732092592422,,
12,079,,,,,,0.36496824908294606,,
12,081,1345,15893,0.08462845277795256,0.06028210923620393,0.10897479631970118,0.14677810405470404,,
12,083,1906,15554,0.12254082551112254,0.09135161386431707,0.153730037157928,0.12985764555389323,,
12,085,315,5658,0.05567338282078473,0.020127253913549623,0.09121951172801984,0.3257531541255851,,
12,086,9386,126120,0.07442118617189977,0.06554101640524954,0.08330135593855001,0.06087915409021725,,
12,087,,,,,,0.5894209032977845,,
12,089,,,,,,0.3756621379537761,,
12,091,515,9475,0.054353562005277044,0.028361905680987464,0.08034521832956662,0.24397755465885057,,
12,093,346,2139,0.16175783076203834,0.0753809580078238,0.24813470351625289,0.27244327418494885,,
12,095,3259,77351,0.042132616255769154,0.03358280240196262,0.05068243010957569,0.10353380143617823,,
12,097,1253,23023,0.05442383703253269,0.030963262803944354,0.07788441126112103,0.21993452467742283,,
12,099,4452,65603,0.06786275017910766,0.05503498649343769,0.08069051386477763,0.09644138166187716,,
12,101,1741,26481,0.06574525131226162,0.05077777369780306,0.08071272892672018,0.11615239151451702,,
12,103,2893,34463,0.08394510054261091,0.06626802001896444,0.10162218106625738,0.10743829688947082,,
12,105,3518,38762,0.09075899076415046,0.07584679169992514,0.10567118982837578,0.08382932384580494,,
12,107,653,3143,0.20776328348711423,0.12663669624629972,0.2888898707279287,0.19922247687117542,,
12,109,597,13788,0.04329852045256745,0.024756976811968978,0.06184006409316592,0.21848255197464508,,
12,111,1173,15047,0.07795573868545225,0.04395476843131931,0.11195670893958518,0.22252927232368525,,
12,113,479,9013,0.05314545656274271,0.030866759020222855,0.07542415410526256,0.21387872369171682,,
12,115,773,15129,0.051093925573402074,0.03338745573987005,0.0688003954069341,0.17680992562208334,,
